reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,reviewTime,overall
A2A039TZMZHH9Y,B00004Y2UT,Bill Lewey blewey,So good that I bought another one.  Love the heavy cord and gold connectors.  Bass sounds great.  I just learned last night how to coil them up.  I guess I should read instructions more carefully.  But no harm done still works great!,The Best Cable,1356048000,12 21 2012,Best
A1UPZM995ZAH90,B00004Y2UT,Brian,I have used monster cables for years and with good reason. The lifetime warranty is worth the price alone. Simple fact: cables break but getting to replace them at no cost is where its at.,Monster Standard 100 - 21 Instrument Cable,1390089600,01 19 2014,Best
AJNFQI3YR6XJ5,B00004Y2UT,Fender Guy Rick,I now use this cable to run from the output of my pedal chain to the input of my Fender Amp. After I bought Monster Cable to hook up my pedal board I thought I would try another one and update my guitar. I had been using a high end Planet Waves cable that I bought in the 1980s... Once I found out the input jacks on the new Monster cable didnt fit into the Fender Strat jack I was a little disappointed... I didnt return it and as stated I use it for the output on the pedal board. Save your money... I went back to my Planet Waves Cable...I payed $30.00 back in the eighties for the Planet Waves which now comes in at around $50.00. What Im getting at is you get what you pay for. I thought Waves was a lot of money back in the day...but I havent bought a guitar cable since this one...20 plus years and still working...Planet Waves wins.,Didnt fit my 1996 Fender Strat...,1353024000,11 16 2012,Average
A3M1PLEYNDEYO8,B00004Y2UT,G. Thomas Tom,Perfect for my Epiphone Sheraton II.  Monster cables are well constructed.  I have several and never had any problems with any of them over the years.  Got this one because I wanted the 90 degree plug.,Great cable,1215302400,07 6 2008,Best
AMNTZU1YQN1TH,B00004Y2UT,Kurt Robair,Monster makes the best cables and a lifetime warranty doesnt hurt either. This isnt their top of the line series but it works great with my bass guitar rig and has for some time. You cant go wrong with Monster Cables.,Best Instrument Cables On The Market,1389139200,01 8 2014,Best
A2NYK9KWFMJV4Y,B00004Y2UT,Mike Tarrani Jazz Drummer,Monster makes a wide array of cables including some that are very high end. I initially purchased a pair ofMonster Rock Instrument Cable - 21 Feet - Angled to Straight 1/4-Inch plugto use with my keyboards but when it came time to purchase cables for my bass and guitar I thought Id pinch a few pennies.  I am so glad I did.I compared this cable model to the more expensive models I previously purchased and aside from looks could not detect any difference in sound. I Swapped back and forth between my guitars and keyboards ensuring that each model was used on each instrument - still no difference.What the more expensive model has going for it is looks. I am not sure it (the higher priced model) is even more sturdy because the molded stress relief ends on this model seem to make it more reliable than its pricier sibling.Bottom line: carefully compare both cables using your own instrument and amp - if possible - before making a purchase decision. You may find as I did that higher price does not necessarily equal higher value even from the same manufacturer.,One of the best instrument cables within the brand,1334793600,04 19 2012,Best
A35QFQI0M46LWO,B00005ML71,Christopher C,I got it to have it if I needed it. I have found that i dont really need it that often and rarely use it. If I was really good I can see the need. But this is a keyboard not an organ.,It works great but I hardly use it.,1398124800,04 22 2014,Good
A2NIT6BKW11XJQ,B00005ML71,Jai,If you are not use to using a large sustaining pedal while playing the piano it may appear little awkward.,HAS TO GET USE TO THE SIZE,1384646400,11 17 2013,Average
A1C0O09LOLVI39,B00005ML71,Michael,I love it I used this for my Yamaha ypt-230 and it works great I would recommend it to anyone,awesome,1371340800,06 16 2013,Best
A17SLR18TUMULM,B00005ML71,Straydogger,I bought this to use in my home studio to control my midi keyboard. It does just what I wanted it to do.,It works!,1356912000,12 31 2012,Best
A2PD27UKAD3Q00,B00005ML71,Wilhelmina Zeitgeist coolartsybabe,I bought this to use with my keyboard. I wasnt really aware that there were other options for keyboard pedals. It doesnt work as smoothly as the pedals do on an acoustic piano which is what Id always used. Doesnt have the same feel either. Nowhere close.In my opinion a sustain pedal like the M-Audio SP-2 Sustain Pedal with Piano Style Action or other similar pedal is a much better choice. The price difference is only a few dollars and the feel and action are so much better. The only thing Ive found the Yamaha FC-5 Sustain Pedal is good for is taking up space in a drawer where I keep my electric guitar pedals.,Definitely Not For The Seasoned Piano Player,1376697600,08 17 2013,Bad
AKSFZ4G1AXYFC,B000068NSX,C.E. Frank,This Fender cable is the perfect length for me! Sometimes I find it a bit too long but I dont mind. The build quality is great and I know that it will last. The only gripe I have with this cable is that the metal sleeve gets unscrewed way too easily requiring me to tighten it often.Sound quality is not affected and the color is cool definitely try this cable out.,Durable Instrument Cable,1376352000,08 13 2013,Good
